link,date,price,rooms,full_address,latitude,longitude,city_district,state,city,road,house_number,floor,total_floors,housing_type,total_area,living_area,kitchen_area,ceiling_height,repair,house_year,house_type,windows_view,bathrooms_num,parking,elevators_num,balcony_num,schools,hospitals,grocery_stores,kindergartens
https://kazan.cian.ru/sale/flat/279532898/,2024-03-18 23:10:00,1800000,1,"Татарстан респ., Казань, р-н Авиастроительный, мкр. Новое Караваево, ул. Гудованцева, 22А",,,,,,,,5,5,1,12.7,,,,3,1973,1,,,,,,,,,
https://kazan.cian.ru/sale/flat/293380073/,2024-03-18 13:55:00,1850000,1,"Татарстан респ., Казань, р-н Московский, мкр. Жилплощадка, ул. Гудованцева, 3",55.8626299,49.01821575,Московский район,Tatarstan,Kazan,улица Гудованцева,3,1,5,1,21.2,11.2,5.0,,,1974,1,2,1,,,,3,1,3,5
https://kazan.cian.ru/sale/flat/285715473/,2024-03-19 00:25:00,2000000,1,"Татарстан респ., Казань, р-н Авиастроительный, мкр. Караваево, ул. Дементьева, 7А",55.858928199999994,49.10134295115938,Авиастроительный район,Tatarstan,Kazan,улица Дементьева,7А,2,9,1,17.0,,,,3,1975,1,,,,1,,8,2,20,14
https://kazan.cian.ru/sale/flat/295245601/,2024-03-14 07:20:00,1750000,1,"Татарстан респ., Казань, р-н Кировский, мкр. Юдино, Бирюзовая ул., 19",55.81960945,48.88553409984781,Кировский район,Tatarstan,Kazan,Biryusovaya Street,19,4,4,1,17.4,12.0,3.0,2.6,3,1965,1,2,,1,,,3,,5,6
https://kazan.cian.ru/sale/flat/295680427/,2024-03-18 19:40:00,2000000,1,"Татарстан респ., Казань, р-н Московский, мкр. поселок Урицкого, ул. Восстания, 92",55.8324547,49.05319325055689,Московский район,Tatarstan,Kazan,улица Восстания,92,2,5,1,12.6,2.6,5.0,0.0,,,1,,,,,,11,6,23,12
https://kazan.cian.ru/sale/flat/294507220/,2024-03-18 19:11:00,1800000,1,"Татарстан респ., Казань, р-н Советский, ул. Шуртыгина, 34",55.78712695,49.17426535,Советский район,Tatarstan,Kazan,улица Шуртыгина,34,3,3,1,12.7,4.7,3.0,,,1964,1,1,,,,,7,3,18,14
https://kazan.cian.ru/sale/flat/299396370/,2024-03-18 12:25:00,1900000,1,"Татарстан респ., Казань, р-н Авиастроительный, мкр. Северный, Беломорская ул., 106",55.86627855,49.054514129360655,Авиастроительный район,Tatarstan,Kazan,Belomorskaya Street,106,3,5,1,17.0,8.0,4.0,,3,1976,1,1,1,,,,5,,3,3
https://kazan.cian.ru/sale/flat/297411390/,2024-03-19 15:21:00,2000000,1,"Татарстан респ., Казань, Шоссейный пер., 7",55.809459849999996,49.08187224951876,Кировский район,Tatarstan,Kazan,Шоссейный переулок,7,5,5,1,14.6,6.6,3.0,,,1968,1,,,,,,2,,14,6
https://kazan.cian.ru/sale/flat/294550837/,2024-12-07 11:57:00,1600000,1,"Татарстан респ., Казань, р-н Московский, мкр. Жилплощадка, ул. Химиков, 9",55.8634225,49.0156042,Московский район,Tatarstan,Kazan,улица Химиков,9,4,5,1,13.1,13.1,,2.6,3,1968,1,2,,1,,,3,2,4,5
https://kazan.cian.ru/sale/flat/298810521/,2024-03-19 00:40:00,1770000,1,"Татарстан респ., Казань, р-н Московский, мкр. Жилплощадка, ул. Гудованцева, 47",55.87759885,49.019776860778634,Московский район,Tatarstan,Kazan,улица Гудованцева,47,5,5,1,12.4,,,,,1973,1,,,,,,3,,4,4
https://kazan.cian.ru/sale/flat/299076675/,2024-03-19 00:40:00,2000000,1,"Татарстан респ., Казань, р-н Московский, мкр. Жилплощадка, ул. Химиков, 33",55.8707772,49.016237027859695,Московский район,Tatarstan,Kazan,улица Химиков,33,2,5,1,12.7,,,,,1967,1,,,,,,4,1,7,7
https://kazan.cian.ru/sale/flat/297919009/,2024-03-19 00:40:00,2000000,1,"Татарстан респ., Казань, р-н Советский, мкр. кварталы 29,30, ул. Академика Кирпичникова, 27",55.814017,49.1840648,Советский район,Tatarstan,Kazan,улица Академика Кирпичникова,27,2,5,1,13.0,,,,3,1963,1,,,,,,9,7,10,10
https://kazan.cian.ru/sale/flat/292018001/,2024-03-19 00:10:00,1500000,1,"Татарстан респ., Казань, р-н Советский, мкр. Дербышки, Тополевая ул., 55",55.8746212,49.22930118492894,Советский район,Tatarstan,Kazan,Тополевая улица,55,9,9,1,12.6,,,,3,1988,1,,,,1,,4,,10,6
https://kazan.cian.ru/sale/flat/295648534/,2024-02-26 11:24:00,1950000,1,"Татарстан респ., Казань, р-н Авиастроительный, мкр. Новое Караваево, ул. Гудованцева, 22А",,,,,,,,1,5,1,12.8,9.0,,,3,1973,1,1,1,,,,,,,
https://kazan.cian.ru/sale/flat/295778670/,2024-03-19 00:25:00,1800000,9,"Татарстан респ., Казань, р-н Советский, мкр. Дербышки, ул. Солидарности, 14",55.86068805,49.2279678,Советский район,Tatarstan,Kazan,улица Солидарности,14,2,5,1,12.3,,,,3,1972,1,,,,,1,7,,19,15
https://kazan.cian.ru/sale/flat/298073212/,2024-03-19 00:40:00,1820000,9,"Татарстан респ., Казань, р-н Московский, мкр. Жилплощадка, ул. Химиков, 35",55.87077295,49.01709805653148,Московский район,Tatarstan,Kazan,улица Химиков,35,5,5,1,12.7,7.6,,,3,1967,1,,,,,,4,1,7,7
https://kazan.cian.ru/sale/flat/299051141/,2024-03-18 19:07:00,2000000,9,"Татарстан респ., Казань, р-н Московский, мкр. Жилплощадка, ул. Химиков, 3",55.8651168,49.0157304,Московский район,Tatarstan,Kazan,улица Химиков,17,5,5,1,13.9,8.9,,2.58,3,1968,4,1,1,,,,3,2,6,6
https://kazan.cian.ru/sale/flat/291841838/,2024-03-19 00:10:00,2000000,9,"Татарстан респ., Казань, р-н Московский, ул. Восстания, 93а",,,,,,,,5,5,1,12.6,,,,2,1971,1,,,,,1,,,,
https://kazan.cian.ru/sale/flat/295659856/,2024-03-19 16:55:00,2180000,1,"Татарстан респ., Казань, р-н Авиастроительный, мкр. Новое Караваево, ул. Гудованцева, 22",55.86926895,49.02187558783708,Авиастроительный район,Tatarstan,Kazan,улица Гудованцева,22,5,5,1,16.3,8.3,3.0,,3,1972,1,1,1,,,,4,1,7,7
https://kazan.cian.ru/sale/flat/296893773/,2024-02-24 13:08:00,1900000,9,"Татарстан респ., Казань, р-н Советский, мкр. Дербышки, ул. Солидарности, 14",55.86068805,49.2279678,Советский район,Tatarstan,Kazan,улица Солидарности,14,4,5,1,23.0,13.0,10.0,2.5,3,1972,1,,,,1,,7,,19,15
https://kazan.cian.ru/sale/flat/296359639/,2024-03-19 00:25:00,1500000,9,"Татарстан респ., Казань, р-н Советский, мкр. Дербышки, ул. Солидарности, 14",55.86068805,49.2279678,Советский район,Tatarstan,Kazan,улица Солидарности,14,2,5,1,12.3,,,,,1972,1,,,,,1,7,,19,15
https://kazan.cian.ru/sale/flat/291608720/,2024-03-18 23:27:00,1850000,9,"Татарстан респ., Казань, р-н Приволжский, мкр. Теплоконтроль, Авангардная ул., 91",55.74617575,49.14391945954229,Приволжский район,Tatarstan,Kazan,Avangardnaya Street,91,1,5,1,14.0,,,,3,1971,1,,,,,,3,,4,4
https://kazan.cian.ru/sale/flat/294962407/,2024-03-18 08:08:00,2099999,9,"Татарстан респ., Казань, р-н Московский, мкр. Жилплощадка, ул. Химиков, 3",55.8651168,49.0157304,Московский район,Tatarstan,Kazan,улица Химиков,17,5,5,1,16.7,16.7,,2.48,2,1968,4,1,1,1,,,3,2,6,6
https://kazan.cian.ru/sale/flat/286356137/,2024-03-19 00:40:00,1800000,9,"Татарстан респ., Казань, р-н Авиастроительный, мкр. Соцгород, ул. Белинского, 39",55.85265445,49.070618151080524,Авиастроительный район,Tatarstan,Kazan,улица Белинского,39,5,5,1,13.4,,,,3,1974,1,,,,,,9,1,17,12
https://kazan.cian.ru/sale/flat/298824162/,2024-03-19 12:10:00,2400000,1,"Татарстан респ., Казань, р-н Московский, мкр. Жилплощадка, ул. Гудованцева, 1",55.8626136,49.019182651180124,Московский район,Tatarstan,Kazan,улица Гудованцева,1,4,5,1,24.0,9.0,10.0,,3,1974,1,1,1,,,1,3,1,3,5
https://kazan.cian.ru/sale/flat/298839633/,2024-03-19 14:15:00,3100000,1,"Татарстан респ., Казань, р-н Московский, мкр. Жилплощадка, ул. Гудованцева, 47",55.87759885,49.019776860778634,Московский район,Tatarstan,Kazan,улица Гудованцева,47,4,5,1,25.1,18.9,3.9,2.7,3,1973,1,1,1,,,,3,,4,4
