link,date,price,rooms,full_address,latitude,longitude,city_district,state,city,road,house_number,floor,total_floors,housing_type,total_area,living_area,kitchen_area,ceiling_height,repair,house_year,house_type,windows_view,bathrooms_num,parking,elevators_num,balcony_num,schools,hospitals,grocery_stores,kindergartens
https://perm.cian.ru/sale/flat/298284082/,2024-03-18 17:25:00,1630000,1,"Пермский край, Пермь, ул. Старцева, 7",58.006149449999995,56.31082252367832,Motovilikhinsky City District,Perm Krai,Perm,улица Старцева,7,7,9,1,14.3,,5.0,,,1986,4,,1,,1,,7,,26,9
https://perm.cian.ru/sale/flat/299569263/,2024-03-13 20:04:00,1980000,1,"Пермский край, Пермь, р-н Мотовилихинский, мкр. Городские Горки, бул. Гагарина, 81/3",57.9993319,56.2896801245591,Motovilikhinsky City District,Perm Krai,Perm,бульвар Гагарина,81/3,3,5,1,19.2,16.0,,,3,1965,1,2,1,1,,,5,1,29,13
https://perm.cian.ru/sale/flat/270599609/,2024-02-28 08:30:00,1850000,1,"Пермский край, Пермь, р-н Свердловский, мкр. Владимирский, Серпуховская ул., 8",57.9686688,56.26409379249319,Sverdlovsky City District,Perm Krai,Perm,Серпуховская улица,8,2,5,1,20.0,12.0,4.0,,3,1968,1,,1,,,,3,2,7,7
https://perm.cian.ru/sale/flat/299588792/,2024-03-19 21:00:00,1900000,1,"Пермский край, Пермь, р-н Кировский, мкр. Новый Крым, Воронежская ул., 20",58.0283548,55.84215983137234,Kirovsky City District,Perm Krai,Perm,Воронежская улица,20,5,5,1,29.0,18.0,5.5,,3,1966,4,2,1,1,,,1,1,6,2
https://perm.cian.ru/sale/flat/298476911/,2024-03-19 17:56:00,1710000,,"Пермский край, Пермь, р-н Мотовилихинский, мкр. Городские Горки, ул. Халтурина, 8",58.01880655,56.29399302062224,Motovilikhinsky City District,Perm Krai,Perm,улица Халтурина,8,1,5,1,31.1,,6.0,2.5,,1966,1,1,1,1,,,17,4,20,22
https://perm.cian.ru/sale/flat/294369323/,2024-03-18 10:39:00,1950000,1,"Пермский край, Пермь, р-н Свердловский, мкр. Октябрьский, Брестская ул., 13",57.958049700000004,56.22996672893804,Sverdlovsky City District,Perm Krai,Perm,Брестская улица,13,1,2,1,29.6,17.7,7.0,,3,1958,,,1,1,,,6,3,13,12
https://perm.cian.ru/sale/flat/299416629/,2024-03-09 17:33:00,2000000,1,"Пермский край, Пермь, р-н Орджоникидзевский, мкр. Левшино, ул. Адмирала Старикова, 11",58.1383121,56.385492600000006,Ordzhonikidzevsky City District,Perm Krai,Perm,улица Адмирала Старикова,11,5,5,1,25.0,,,,3,1974,,2,1,1,,1,3,,4,3
https://perm.cian.ru/sale/flat/296599967/,2024-03-11 12:50:00,1350000,1,"Пермский край, Пермь, р-н Кировский, Ласьвинская ул., 56А",58.0029658,55.9423436,Kirovsky City District,Perm Krai,Perm,Ласьвинская улица,,4,5,1,18.4,12.0,4.0,,3,1969,1,,1,,,,11,3,19,16
https://perm.cian.ru/sale/flat/298991549/,2024-03-11 12:48:00,1300000,1,"Пермский край, Пермь, р-н Кировский, ул. Богдана Хмельницкого, 58",58.009084099999995,55.940165299086516,Kirovsky City District,Perm Krai,Perm,улица Богдана Хмельницкого,58,5,5,1,17.7,,,,3,1972,1,,1,,,,9,1,17,14
https://perm.cian.ru/sale/flat/297101080/,2024-03-11 06:59:00,1900000,1,"Пермский край, Пермь, р-н Свердловский, мкр. Свердловский, ул. Коминтерна, 28",57.988045,56.24455456977622,Sverdlovsky City District,Perm Krai,Perm,улица Коминтерна,28,5,5,1,24.4,,,,3,1970,1,1,1,1,,,8,4,26,17
