link,date,price,rooms,full_address,latitude,longitude,city_district,state,city,road,house_number,floor,total_floors,housing_type,total_area,living_area,kitchen_area,ceiling_height,repair,house_year,house_type,windows_view,bathrooms_num,parking,elevators_num,balcony_num,schools,hospitals,grocery_stores,kindergartens
https://samara.cian.ru/sale/flat/292243402/,2024-03-19 13:25:00,1650000,1,"Самарская область, Самара, р-н Промышленный, мкр. 7,8, просп. Карла Маркса, 352",53.237726249999994,50.2345909253593,,Samara Oblast,Samara,prospekt Karla Marksa,352,2,5,1,18.0,9.0,4.0,,,1971,1,,,,,,15,3,28,8
https://samara.cian.ru/sale/flat/299687350/,2024-03-19 11:25:00,2000000,1,"Самарская область, Самара, р-н Красноглинский, Красная Глинка поселок, ул. Батайская, 12",,,,,,,,1,5,1,30.0,14.5,6.2,,3,1986,1,,,,,,,,,
https://samara.cian.ru/sale/flat/297041728/,2024-03-11 18:52:00,1590000,1,"Самарская область, Самара, р-н Промышленный, Теннисная ул., 25",53.216916350000005,50.27292415000001,,Samara Oblast,Samara,Теннисная улица,25,4,5,1,18.4,14.0,4.0,,3,1973,1,,,,,,10,2,22,8
https://samara.cian.ru/sale/flat/297149394/,2024-03-18 11:55:00,2000000,1,"Самарская область, Самара, р-н Куйбышевский, мкр. Кряж, Таганская ул., 6Б",53.1381589,50.12717798662736,,Samara Oblast,Samara,Таганская улица,6Б,1,3,1,30.0,18.0,5.0,,,1972,1,,,,,,1,,2,1
https://samara.cian.ru/sale/flat/299022057/,2024-03-19 11:14:00,1250000,1,"Самарская область, Самара, р-н Красноглинский, мкр. Прибрежный, ул. Парусная, 4",53.4852714,49.84937138615291,,Samara Oblast,Samara,Парусная улица,4,5,5,1,29.7,17.2,6.0,2.7,3,1964,1,2,1,1,,1,2,1,4,2
https://samara.cian.ru/sale/flat/299614773/,2024-03-14 21:10:00,1400000,1,"Самарская область, Самара, р-н Куйбышевский, мкр. 113-й километр, 113 километр поселок, ул. Липяговская, 3",,,,,,,,4,5,1,23.3,12.8,5.2,2.7,3,1986,5,1,1,1,,1,,,,
https://samara.cian.ru/sale/flat/298837623/,2024-03-19 11:53:00,1470000,1,"Самарская область, Самара, р-н Кировский, мкр. Металлург, Юбилейная ул., 34",53.2255026,50.26484397816746,,Samara Oblast,Samara,Юбилейная улица,34,5,5,1,13.7,4.2,4.5,,3,1968,4,2,,,,,18,3,34,14
https://samara.cian.ru/sale/flat/298976012/,2024-03-19 11:53:00,1570000,1,"Самарская область, Самара, р-н Кировский, мкр. Металлург, Юбилейная ул., 34",53.2255026,50.26484397816746,,Samara Oblast,Samara,Юбилейная улица,34,5,5,1,13.2,5.2,3.0,,3,1968,4,2,,,,1,18,3,34,14
https://samara.cian.ru/sale/flat/298680327/,2024-03-06 08:01:00,1150000,1,"Самарская область, Самара, р-н Советский, Средне-Садовая ул., 32",53.3349634,50.52278515311623,,Samara Oblast,,Средне-Садовая улица,32,1,5,1,15.0,10.0,3.0,2.5,2,1964,4,1,1,1,,,1,,2,1
https://samara.cian.ru/sale/flat/299762954/,2024-03-19 12:23:00,750000,1,"Самарская область, Самара, р-н Советский, ул. 22-го Партсъезда, 42",53.2118883,50.22698818227296,,Samara Oblast,Samara,22nd Parts'ezda Street,42,5,5,1,14.0,6.0,3.0,,3,1962,1,,,,,,10,6,25,17
