link,date,price,rooms,full_address,latitude,longitude,city_district,state,city,road,house_number,floor,total_floors,housing_type,total_area,living_area,kitchen_area,ceiling_height,repair,house_year,house_type,windows_view,bathrooms_num,parking,elevators_num,balcony_num,schools,hospitals,grocery_stores,kindergartens
https://ufa.cian.ru/sale/flat/294905445/,2024-03-18 22:20:00,1600000,1,"Башкортостан респ., Уфа, Тендерная ул., 7",54.7396774,55.937386,Ленинский район,Bashkortostan,Ufa,Тендерная улица,,2,2,1,25.0,12.0,6.0,2.5,3,,,1,,,,,7,4,10,4
https://ufa.cian.ru/sale/flat/298716590/,2024-03-19 07:40:00,1800000,1,"Башкортостан респ., Уфа, р-н Орджоникидзевский, мкр. Черниковка, ул. Дмитрия Донского, 83",54.8222846,56.10666661356207,Орджоникидзевский район,Bashkortostan,Ufa,улица Дмитрия Донского,83,4,9,1,23.0,13.0,5.0,2.6,3,1986,1,,,,,,12,1,14,7
https://ufa.cian.ru/sale/flat/298003001/,2024-03-15 21:25:00,1950000,1,"Башкортостан респ., Уфа, р-н Ленинский, мкр. Затон, ул. Шмидта, 128А",,,,,,,,2,2,1,32.3,15.0,7.1,2.5,,1962,1,2,1,,,,,,,
https://ufa.cian.ru/sale/flat/299316630/,2024-03-19 08:40:00,1300000,1,"Башкортостан респ., Уфа, р-н Орджоникидзевский, мкр. проспект Октября, ул. Блюхера, 19",54.79126445,56.030981,Орджоникидзевский район,Bashkortostan,Ufa,улица Блюхера,19,3,5,1,17.3,8.3,4.0,2.7,3,23012,1,,,,,,7,5,17,10
https://ufa.cian.ru/sale/flat/292219822/,2024-03-02 10:45:00,1950000,1,"Башкортостан респ., Уфа, р-н Орджоникидзевский, мкр. Черниковка, Кольцевая ул., 155",54.8130483,56.11110988636869,Орджоникидзевский район,Bashkortostan,Ufa,Кольцевая улица,155,1,2,1,30.3,,,,3,1958,1,2,1,1,,,15,1,34,11
https://ufa.cian.ru/sale/flat/297918200/,2024-03-18 11:55:00,1850000,1,"Башкортостан респ., Уфа, р-н Орджоникидзевский, мкр. Черниковка, ул. Боткина, 7",54.82135855,56.09332220361809,Орджоникидзевский район,Bashkortostan,Ufa,улица Боткина,7,3,5,1,17.2,,5.0,,3,1957,,,1,,,,12,2,16,8
https://ufa.cian.ru/sale/flat/298742939/,2024-03-04 07:20:00,1580000,1,"Башкортостан респ., Уфа, р-н Калининский, Шакша жилой район, ул. Производственная",,,,,,,,3,4,1,34.5,24.0,7.0,2.0,,,4,1,1,,,,,,,
https://ufa.cian.ru/sale/flat/280444166/,2024-03-12 12:36:00,1700000,1,"Башкортостан респ., Уфа, р-н Кировский, мкр. Кооперативная поляна, Сарапульская ул., 92",54.69441545,55.94822402649343,Кировский район,Bashkortostan,Ufa,Сарапульская улица,92,2,2,1,26.0,20.0,6.0,,3,,,1,1,,,,1,,2,
https://ufa.cian.ru/sale/flat/298990495/,2024-03-18 11:40:00,1850000,1,"Башкортостан респ., Уфа, р-н Калининский, мкр. Шакша, ул. Сельская, 3",54.7567375,56.23432732327157,Калининский район,Bashkortostan,Ufa,Сельская улица,3,5,10,1,26.6,16.6,5.0,,3,2015,1,,1,,2,,1,,1,
https://ufa.cian.ru/sale/flat/299521455/,2024-03-12 18:22:00,1850000,1,"Башкортостан респ., Уфа, р-н Орджоникидзевский, мкр. проспект Октября, Кубанская ул., 1",54.791626199999996,56.0495789,Орджоникидзевский район,Bashkortostan,Ufa,Кубанская улица,1,1,5,1,17.5,,,3.2,3,1976,1,2,,,,,8,4,13,8
https://ufa.cian.ru/sale/flat/296496715/,2024-03-18 10:37:00,1900000,1,"Башкортостан респ., Уфа, р-н Орджоникидзевский, мкр. проспект Октября, Кубанская ул., 1",54.791626199999996,56.0495789,Орджоникидзевский район,Bashkortostan,Ufa,Кубанская улица,1,1,5,1,17.5,17.5,,3.2,3,1976,1,2,1,,,,8,4,13,8
https://ufa.cian.ru/sale/flat/296409288/,2024-03-18 23:25:00,1450000,1,"Башкортостан респ., Уфа, р-н Кировский, мкр. Кооперативная поляна, Сарапульская ул., 92",54.69441545,55.94822402649343,Кировский район,Bashkortostan,Ufa,Сарапульская улица,92,1,2,1,25.6,,5.0,,3,,,,1,,,1,1,,2,
https://ufa.cian.ru/sale/flat/299529556/,2024-03-18 11:40:00,1299000,1,"Башкортостан респ., Уфа, р-н Советский, Баргузинская ул., 19/1",,,,,,,,4,5,1,12.9,,5.0,,3,1977,1,,1,,,1,,,,
https://ufa.cian.ru/sale/flat/298809634/,2024-03-18 11:40:00,1600000,1,"Башкортостан респ., Уфа, р-н Орджоникидзевский, мкр. Черниковка, Кольцевая ул., 199",54.8142431,56.1294959,Орджоникидзевский район,Bashkortostan,Ufa,Кольцевая улица,199,2,9,1,12.4,,5.0,,3,1982,3,,1,,2,1,9,,23,11
https://ufa.cian.ru/sale/flat/299665555/,2024-03-18 15:56:00,1550000,1,"Башкортостан респ., Уфа, р-н Калининский, мкр. Черниковка, Интернациональная ул., 179",54.80175235,56.13070031916517,Калининский район,Bashkortostan,Ufa,Интернациональная улица,179/2,1,2,1,23.1,16.0,5.0,3.0,,1945,5,1,1,,,,8,,14,7
https://ufa.cian.ru/sale/flat/297645328/,2024-03-18 11:40:00,1790000,1,"Башкортостан респ., Уфа, р-н Орджоникидзевский, мкр. проспект Октября, ул. Адмирала Макарова, 14к1",,,,,,,,3,9,1,16.5,6.5,5.0,,3,,,,,,1,,,,,
https://ufa.cian.ru/sale/flat/294438101/,2024-03-11 12:22:00,1595000,1,"Башкортостан респ., Уфа, р-н Орджоникидзевский, мкр. проспект Октября, ул. Адмирала Макарова, 14/1",54.79216205,56.05318215899217,Орджоникидзевский район,Bashkortostan,Ufa,улица Адмирала Макарова,14/1,6,9,1,16.3,11.2,,2.5,3,1992,4,1,1,,1,,5,1,9,8
https://ufa.cian.ru/sale/flat/299075446/,2024-03-12 16:26:00,1199000,1,"Башкортостан респ., Уфа, р-н Советский, Баргузинская ул., 19/1",,,,,,,,4,5,1,12.9,,,2.5,3,1977,1,1,,,,,,,,
https://ufa.cian.ru/sale/flat/298090954/,2024-03-04 12:18:00,1750000,1,"Башкортостан респ., Уфа, р-н Калининский, мкр. Инорс, ул. Ферина, 1/1",54.78665115,56.13283689810666,Калининский район,Bashkortostan,Ufa,улица Ферина,1/1,2,9,1,16.6,,,2.5,3,1976,4,1,1,1,2,,4,,24,8
https://ufa.cian.ru/sale/flat/295772818/,2024-02-12 21:45:00,1550000,1,"Башкортостан респ., Уфа, р-н Кировский, мкр. Кооперативная поляна, Сарапульская ул., 92",54.69441545,55.94822402649343,Кировский район,Bashkortostan,Ufa,Сарапульская улица,92,1,2,1,27.0,16.0,5.0,2.5,3,,2,1,1,1,,,1,,2,
https://ufa.cian.ru/sale/flat/296940741/,2024-03-18 12:18:00,1300000,1,"Башкортостан респ., Уфа, р-н Калининский, Базилевка поселок, ул. Беговая, 14А",,,,,,,,1,2,1,36.0,17.0,10.0,,,,,,1,,,,,,,
https://ufa.cian.ru/sale/flat/294491203/,2024-03-15 10:20:00,2450000,1,"Башкортостан респ., Уфа, Сельская Богородская ул., 21",54.7916307,56.1396221,Калининский район,Bashkortostan,Ufa,Сельская Богородская улица,21,2,2,1,27.6,15.8,6.0,,3,1942,,2,1,1,,1,3,,9,3
https://ufa.cian.ru/sale/flat/277836185/,2024-03-13 20:00:00,1880000,2,"Башкортостан респ., Уфа, р-н Советский, ул. Белякова, 70",54.748816149999996,55.95927485942599,Советский район,Bashkortostan,Ufa,улица Белякова,70,2,2,1,32.4,24.0,6.4,,3,1908,2,2,1,,,,1,1,7,4
https://ufa.cian.ru/sale/flat/296695377/,2024-03-02 17:53:00,1140000,2,"Башкортостан респ., Уфа, р-н Ленинский, мкр. Нижегородка, Рулевая ул., 4",54.7356425,55.9127492,Ленинский район,Bashkortostan,Ufa,Рулевая улица,,2,2,1,30.0,16.0,12.0,2.5,3,,,1,,,,,2,,5,1
https://ufa.cian.ru/sale/flat/298718104/,2024-03-18 09:12:00,1540000,9,"Башкортостан респ., Уфа, р-н Орджоникидзевский, мкр. проспект Октября, ул. Блюхера, 21/1",54.792226,56.030227538785326,Орджоникидзевский район,Bashkortostan,Ufa,улица Блюхера,21/1,3,5,1,14.0,7.0,2.0,,2,1968,1,1,1,,,,7,5,15,10
https://ufa.cian.ru/sale/flat/281595829/,2024-03-18 20:10:00,3900000,1,"Башкортостан респ., Уфа, р-н Советский, ул. Ленина, 104",54.7387909,55.95523565000002,Советский район,Bashkortostan,Ufa,Lenina Street,104,5,5,1,31.6,18.6,5.9,2.7,,1960,1,,,,,,9,8,25,18
https://ufa.cian.ru/sale/flat/291715454/,2024-03-18 19:55:00,3900000,1,"Башкортостан респ., Уфа, р-н Орджоникидзевский, мкр. проспект Октября, ул. Чудинова, 12",54.7945312,56.03438235,Орджоникидзевский район,Bashkortostan,Ufa,улица Чудинова,12,2,5,1,28.0,17.0,5.0,2.5,2,1962,1,1,1,,,,7,3,13,10
https://ufa.cian.ru/sale/flat/298375206/,2024-03-10 12:23:00,3850000,1,"Башкортостан респ., Уфа, р-н Орджоникидзевский, мкр. проспект Октября, просп. Октября, 176",54.7937521,56.03848009909476,Орджоникидзевский район,Bashkortostan,Ufa,October Prospect,176,9,10,1,34.0,19.0,6.0,2.5,1,1975,1,1,1,1,1,1,8,3,13,11
https://ufa.cian.ru/sale/flat/291670076/,2024-03-18 10:23:00,2100000,1,"Башкортостан респ., Уфа, р-н Калининский, мкр. Инорс, ул. Ферина, 1/1",54.78665115,56.13283689810666,Калининский район,Bashkortostan,Ufa,улица Ферина,1/1,2,9,1,22.6,17.6,,2.5,3,1976,4,1,1,,2,,4,,24,8
https://ufa.cian.ru/sale/flat/290956124/,2024-03-18 20:10:00,3800000,1,"Башкортостан респ., Уфа, р-н Дёмский, мкр. Дема, ул. Правды, 1",54.7038498,55.84371697585762,Дёмский район,Bashkortostan,Ufa,улица Правды,1,6,12,1,39.5,18.4,8.4,2.7,2,1989,1,2,,,1,,7,,19,12
https://ufa.cian.ru/sale/flat/298290776/,2024-03-08 12:13:00,3900000,1,"Башкортостан респ., Уфа, р-н Орджоникидзевский, мкр. проспект Октября, ул. Шота Руставели, 24",54.791315350000005,56.046499490289655,Орджоникидзевский район,Bashkortostan,Ufa,улица Шота Руставели,24,8,9,1,37.6,17.5,7.5,2.5,2,1986,4,1,1,,1,1,9,4,17,12
https://ufa.cian.ru/sale/flat/288539923/,2024-03-18 19:55:00,3750000,1,"Башкортостан респ., Уфа, р-н Ленинский, мкр. Затон, Союзная ул., 6к2",,,,,,,,12,16,1,37.2,22.2,10.0,2.6,3,2013,1,2,,,2,,,,,
https://ufa.cian.ru/sale/flat/282947238/,2024-03-14 12:20:00,4000000,1,"Башкортостан респ., Уфа, р-н Дёмский, Экогород Яркий жилой комплекс, ул. Архитектора Калимуллина, 4",54.69750995,55.861170925243684,Дёмский район,Bashkortostan,Ufa,улица Архитектора Калимуллина,4,20,23,1,33.1,10.5,12.5,2.7,,2022,1,,1,,2,,1,,6,3
https://ufa.cian.ru/sale/flat/299242035/,2024-03-14 09:48:00,3900000,1,"Башкортостан респ., Уфа, р-н Ленинский, мкр. Затон, ул. Летчиков, 4/3",54.790969,55.8506785,Ленинский район,Bashkortostan,Ufa,улица Лётчиков,,3,10,1,39.0,16.5,9.5,,2,2004,4,1,1,1,2,1,1,,3,2
https://ufa.cian.ru/sale/flat/282549659/,2024-03-18 19:55:00,2550000,1,"Башкортостан респ., Уфа, р-н Октябрьский, мкр. Восточный, просп. Октября, 132/2",54.77575315,56.03137636109135,Октябрьский район,Bashkortostan,Ufa,October Prospect,132/2,2,5,1,18.1,8.0,5.0,2.5,,1968,1,,,,,,7,3,28,8
