link,date,price,rooms,full_address,latitude,longitude,city_district,state,city,road,house_number,floor,total_floors,housing_type,total_area,living_area,kitchen_area,ceiling_height,repair,house_year,house_type,windows_view,bathrooms_num,parking,elevators_num,balcony_num,schools,hospitals,grocery_stores,kindergartens
https://ulyanovsk.cian.ru/sale/flat/299385903/,2024-03-19 15:25:00,2800000,1.0,"Ульяновская область, Ульяновск, р-н Засвияжский, Промышленная ул., 93",54.282487200000006,48.31505067866166,Засвияжский район,Ulyanovsk Oblast,Ulyanovsk,Промышленная улица,93,2,10,1,35.6,,8.2,,3.0,2011.0,4.0,,1.0,,2.0,1.0,10.0,2.0,16.0,9.0
https://ulyanovsk.cian.ru/sale/flat/291166456/,2024-03-18 23:11:00,2970000,1.0,"Ульяновская область, Ульяновск, р-н Засвияжский, Октябрьская ул., 38",54.3011362,48.34773541235704,Засвияжский район,Ulyanovsk Oblast,Ulyanovsk,Октябрьская улица,38,4,9,1,35.5,,8.0,,3.0,1961.0,1.0,,1.0,,1.0,1.0,8.0,1.0,10.0,7.0
https://ulyanovsk.cian.ru/sale/flat/299764302/,2024-03-19 12:47:00,3499000,1.0,"Ульяновская область, Ульяновск, р-н Заволжский, просп. Врача Сурова, 27",54.39104845,48.5840472,Zavolzhskiy,Ulyanovsk Oblast,Ulyanovsk,проспект Врача Сурова,27,2,9,1,38.0,19.0,9.0,2.65,2.0,1994.0,4.0,1.0,1.0,,1.0,1.0,4.0,1.0,12.0,8.0
https://ulyanovsk.cian.ru/sale/flat/299778615/,2024-03-19 17:05:00,2900000,1.0,"Ульяновская область, Ульяновск, р-н Засвияжский, Фруктовая ул., 6",54.27721765,48.30703701083553,Засвияжский район,Ulyanovsk Oblast,Ulyanovsk,Фруктовая улица,6,4,10,1,35.0,17.0,7.0,2.7,3.0,1993.0,4.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,28.0,14.0
https://ulyanovsk.cian.ru/sale/flat/296409250/,2024-03-18 23:25:00,3900000,1.0,"Ульяновская область, Ульяновск, р-н Засвияжский, ул. Юго-западная, 11",54.2793452,48.2631433,Засвияжский район,Ulyanovsk Oblast,Ulyanovsk,Юго-Западная улица,11,3,19,1,36.5,,14.2,,2.0,2023.0,,,1.0,,2.0,,2.0,,8.0,3.0
https://ulyanovsk.cian.ru/sale/flat/299033095/,2024-03-18 23:15:00,3800000,1.0,"Ульяновская область, Ульяновск, р-н Заволжский, просп. Генерала Тюленева, 52",54.39093915,48.577756828742125,Zavolzhskiy,Ulyanovsk Oblast,Ulyanovsk,проспект Генерала Тюленева,52,5,12,1,35.0,,9.8,,2.0,2021.0,4.0,,1.0,,2.0,1.0,4.0,1.0,12.0,8.0
https://ulyanovsk.cian.ru/sale/flat/293531959/,2024-03-19 14:17:00,2400000,1.0,"Ульяновская область, Ульяновск, р-н Засвияжский, просп. 50-летия ВЛКСМ, 2",54.3074644,48.3319795,Засвияжский район,Ulyanovsk Oblast,Ulyanovsk,проспект 50-летия ВЛКСМ,2,3,5,1,29.7,,6.0,,3.0,1963.0,1.0,,1.0,,,,10.0,1.0,15.0,9.0
https://ulyanovsk.cian.ru/sale/flat/298935218/,2024-03-19 09:55:00,3500000,1.0,"Ульяновская область, Ульяновск, р-н Засвияжский, Фруктовая ул., 1",54.27837165,48.31108258998175,Засвияжский район,Ulyanovsk Oblast,Ulyanovsk,Фруктовая улица,1,9,10,1,35.3,18.0,12.0,2.9,2.0,1987.0,4.0,2.0,1.0,1.0,1.0,1.0,9.0,2.0,21.0,8.0
https://ulyanovsk.cian.ru/sale/flat/297199820/,2024-03-19 09:57:00,2900000,1.0,"Ульяновская область, Ульяновск, р-н Засвияжский, ул. Игошина, 4А",54.2806741,48.267604688807225,Засвияжский район,Ulyanovsk Oblast,Ulyanovsk,улица Игошина,4А,3,11,1,29.7,14.0,5.0,2.7,3.0,2015.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,10.0,6.0
https://ulyanovsk.cian.ru/sale/flat/297330941/,2024-03-18 23:13:00,2200000,1.0,"Ульяновская область, Ульяновск, р-н Заволжский, Заводской проезд, 31",54.3272184,48.48640295070547,Zavolzhskiy,Ulyanovsk Oblast,Ulyanovsk,Заводской проезд,31,3,9,1,30.2,,8.0,,3.0,2015.0,,,1.0,,1.0,1.0,3.0,1.0,8.0,5.0
